,"(x,y)",f(w),iterations
[-0.5  0.5],[-0.4688174   0.48387437],6.902412398443703,50
[1. 1.],[1.02206051 0.96894401],11.205423036736665,50
[ 2.1 -2.1],[ 2.11759899 -2.07774574],49.5785291890354,50
[-3.  3.],[-3.02065016  3.01062326],3.067185951548828,50
[-2.  2.],[-2.  2.],-4.799231304517944e-31,50
